Customer ID;Entity;Name;Surname;Age at time of purchase;Interval;Y;Gender;Country;State;Purpose;Deal satisfaction;Mortgage;Source
C0028;Individual;Madalyn;Mercer;19;18-25;1986;F;USA;California;Home;5;No;Website
C0027;Individual;Lara;Carrillo;22;18-25;1983;F;USA;California;Home;5;No;Website
C0112;Individual;Donavan;Flowers;22;18-25;1985;M;USA;California;Home;1;Yes;Client
C0160;Individual;Darien;Dorsey;22;18-25;1985;M;USA;California;Investment;3;Yes;Website
C0014;Individual;Alessandra;Perry;25;18-25;1979;F;USA;California;Home;4;No;Agency
C0125;Individual;Kaitlin;Owen;26;26-35;1981;F;USA;Virginia;Investment;5;No;Client
C0125;Individual;Kaitlin;Owen;26;26-35;1981;F;USA;Virginia;Investment;5;No;Agency
C0166;Individual;Terry;Forbes;26;26-35;1982;M;USA;California;Home;5;No;Client
C0034;Individual;Kole;Shannon;27;26-35;1979;M;USA;Arizona;Home;2;Yes;Website
C0170;Individual;Emmy;Singh;27;26-35;1979;F;USA;Virginia;Investment;3;Yes;Agency
C0009;Individual;Arabella;Ferrell;28;26-35;1976;F;USA;Oregon;Home;1;No;Agency
C0041;Individual;Christian;Costa;26;26-35;1980;M;USA;California;Home;5;No;Website
C0057;Individual;Michelle;Cameron;29;26-35;1978;F;USA;Nevada;Home;3;Yes;Website
C0061;Individual;Enrique;Cardenas;29;26-35;1977;M;USA;California;Home;2;No;Website
C0089;Individual;Amanda;Simon;29;26-35;1978;F;USA;California;Home;5;No;Agency
C0159;Individual;Kamden;Stewart;29;26-35;1978;M;USA;California;Home;5;No;Website
C0171;Individual;Skylar;Buchanan;29;26-35;1977;M;USA;Nevada;Home;4;Yes;Website
C0042;Individual;Michael;Juarez;30;26-35;1976;M;USA;Colorado;Home;4;Yes;Agency
C0093;Individual;Antonio;Porter;30;26-35;1977;M;USA;Arizona;Home;5;No;Client
C0093;Individual;Antonio;Porter;30;26-35;1977;M;USA;Arizona;Home;3;No;Client
C0051;Individual;Conner;Huff;31;26-35;1975;M;USA;Nevada;Home;5;No;Website
C0064;Individual;Joaquin;Mullins;31;26-35;1975;M;USA;California;Investment;5;No;Agency
C0064;Individual;Joaquin;Mullins;31;26-35;1975;M;USA;California;Investment;5;No;Agency
C0128;Individual;Kyla;Walker;31;26-35;1976;F;USA;Colorado;Home;4;Yes;Agency
C0019;Individual;Victor;Jensen;32;26-35;1973;M;USA;California;Home;4;No;Website
C0037;Individual;Tyler;Carr;32;26-35;1974;M;USA;California;Home;5;Yes;Client
C0127;Individual;Maia;Chandler;32;26-35;1975;F;USA;Utah;Home;1;Yes;Website
C0018;Individual;Rodrigo;Ramirez;33;26-35;1972;M;USA;California;Home;1;No;Agency
C0040;Individual;Gianni;Fritz;33;26-35;1973;M;USA;California;Home;3;No;Website
C0080;Individual;Janelle;Espinoza;33;26-35;1974;F;USA;California;Investment;4;No;Client
C0083;Individual;Julio;Leonard;33;26-35;1974;M;USA;Nevada;Home;2;Yes;Website
C0085;Individual;Melanie;Holland;33;26-35;1974;F;USA;California;Investment;3;No;Client
C0091;Individual;Gordon;Brown;33;26-35;1974;M;UK;Arizona;Investment;4;No;Agency
C0007;Individual;Jaelyn;Berger;34;26-35;1970;F;USA;California;Home;3;No;Website
C0048;Individual;Adriana;Shaffer;34;26-35;1972;F;USA;California;Investment;2;No;Agency
C0065;Individual;Mara;Franco;34;26-35;1973;F;USA;California;Home;5;Yes;Agency
C0096;Individual;Kael;Hurley;34;26-35;1973;M;USA;Colorado;Home;3;No;Website
C0164;Individual;Belinda;Hogan;34;26-35;1973;F;USA;California;Home;1;Yes;Agency
C0038;Individual;Mohammad;Irwin;35;26-35;1971;M;USA;California;Home;1;No;Website
C0087;Individual;Warren;Pugh;35;26-35;1973;M;USA;Arizona;Investment;5;No;Website
C0142;Individual;Kassidy;Vega;35;26-35;1972;F;USA;California;Home;5;No;Website
C0015;Individual;Lauryn;Patrick;36;36-45;1969;F;Belgium;;Home;2;No;Agency
C0122;Individual;Brock;Fischer;36;36-45;1971;M;USA;Kansas;Home;3;No;Website
C0017;Individual;Memphis;Mcconnell;37;36-45;1968;M;USA;California;Home;2;Yes;Website
C0020;Individual;Grant;Weber;37;36-45;1968;M;USA;California;Home;5;Yes;Website
C0086;Individual;Jace;Riggs;37;36-45;1971;F;USA;California;Home;1;No;Website
C0150;Individual;Emmett;Estes;37;36-45;1969;M;USA;California;Home;3;No;Website
C0156;Individual;Isis;Rios;37;36-45;1970;M;USA;California;Investment;4;No;Website
C0169;Individual;Mason;Gilbert;37;36-45;1970;M;USA;Colorado;Home;2;No;Agency
C0022;Individual;Zain;Horne;38;36-45;1967;M;USA;Arizona;Home;1;Yes;Website
C0072;Individual;Dayton;Hatfield;38;36-45;1969;M;USA;Colorado;Investment;4;Yes;Agency
C0136;Individual;Annabel;Robles;38;36-45;1969;F;USA;California;Home;5;Yes;Website
C0149;Individual;Kayden;Olsen;38;36-45;1969;F;USA;California;Home;5;No;Website
C0011;Individual;Davion;Stout;39;36-45;1965;M;USA;Nevada;Home;1;Yes;Agency
C0073;Individual;Kevin;Mata;39;36-45;1968;M;USA;Colorado;Investment;2;No;Agency
C0110;Individual;Kareem;Liu;39;36-45;1968;F;USA;California;Home;4;Yes;Website
C0111;Individual;Grace;Stein;39;36-45;1968;F;USA;California;Home;3;Yes;Website
C0123;Individual;Lydia;Tate;39;36-45;1968;F;USA;California;Home;3;Yes;Website
C0070;Individual;Aleksandra;Karenina;40;36-45;1967;F;Russia;;Home;1;No;Agency
C0075;Individual;Sincere;Hansen;40;36-45;1967;F;USA;California;Investment;2;Yes;Agency
C0076;Individual;Luke;Lynn;40;36-45;1967;M;USA;California;Home;2;Yes;Agency
C0105;Individual;Myla;Ewing;40;36-45;1967;F;USA;Oregon;Investment;2;No;Client
C0135;Individual;Morgan;Glass;40;36-45;1967;M;USA;Utah;Home;5;No;Agency
